|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|      float|     float|     float|    float|         float|        float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|              |             |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|       null|      null|      null|     null|          null|         null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|              null|           null|            null|
          3.1   1.6154677 1888.4689 1682.1814  130.75098  0.17834233  0.17495017  13.507549        1.0 0.69948596   0.7324814  124.27137  13.777851 2.5075052   -0.007603526  0.0037998597  131.01234    -0.18904595    -0.22647388     2.4918308 290.89462  71.83287 2925p711    1 2925p711w1o0046181e001   27       1           32          0     1       0 55221.992   55229.8   55225.9  17.208887  0.11256626                 5      circular halo                                  
          3.2   5.6933827 1885.9827 1681.2656  214.88922  0.11080585 0.109501906  13.966114        1.0   0.461109   0.6415581  209.45741   14.23412 2.5030587   0.0014417768   0.002410546  214.86287    0.058347017   0.0149967335      2.695647 290.89703 71.830986 2925p711    1 2925p711w1o0042461e001   26       1           32          0     1       0 55221.992   55229.8   55225.9  16.669464  0.07066393                 5      circular halo                                  
          3.3   11.921943 1883.6571  1682.469   551.2577 0.044323567 0.043730326  14.434428  0.9999999 0.79247034  0.92290735   549.7185  14.708191   2.51004  0.00042372942  0.0009652966   551.3325  -0.0128441695    0.011739313      2.812133 290.89423 71.829185 2925p711    1 2925p711w1o0024055e001   27       1           32          0     1       0 55221.992   55229.8   55225.9  15.646613  0.02843604                 5      circular halo                                  
          3.4   16.670717 1888.9147 1675.9098 127.353966   0.1778354  0.17723794  13.258995        1.0  0.5981009   0.8143593  116.64545  13.525853 2.5009274   0.0072740912  0.0039074263  127.35461  -0.0051747765    0.010870214     2.4108026 290.90994 71.833336 2925p711    1 2925p711w1o0024141e001   28       1           32          0     1       0 55221.992   55229.8   55225.9  17.237469  0.11344857                 5      circular halo                                  
          3.5   23.297424 1889.1307 1673.5052 109.135574  0.20871794   0.2078633  13.222088        1.0  1.8079977  0.75536156   98.35949   13.48811 2.5064662    0.009034038   0.004497751  109.13807    0.017656993   0.0021867803      2.369414 290.91583  71.83355 2925p711    1 2925p711w1o0032393e001   29       1           32          0     1       0 55221.992   55229.8   55225.9  17.405085  0.13218941                 5      circular halo                                  
          3.6   24.753513 1879.3684   1679.19  112.99031  0.20704113  0.20664869  13.657456  1.0000001  0.8759804   0.9038291 109.033005  13.927704 2.5067146   -0.004252553  0.0044119284  112.99484    -0.08225727    0.094445415      3.255651 290.90253  71.82598 2925p711    1 2925p711w1o0023964e001   27       1           32          0     1       0 55221.992   55229.8   55225.9  17.367397  0.13188078                 5      circular halo                                  
          3.7   28.403492 1896.1655 1688.1661  209.95683  0.11096733  0.11275855  13.836949        1.0  0.8177325  0.38729927  216.23363  14.105027 2.5028439   0.0008429289  0.0024455658  209.53987    -0.06722487       -0.12895     1.6442959 290.87946  71.83862 2925p711    1 2925p711w1o0042549e001   28       1           32          0     1       0 55221.992   55229.8   55225.9  16.694675  0.07165796                 5      circular halo                                  
          3.8   29.196411 1887.2644 1671.3002   71.83075  0.31517693  0.31439513  13.183516 0.99999994 0.43446657   0.8262856  67.031334  13.449209 2.5067942    0.009780705   0.006877881   71.83402   0.0060882443    0.012721456     2.4057362 290.92133  71.83217 2925p711    1 2925p711w1o0042460e001   29       1           32          0     1       0 55221.992   55229.8   55225.9  17.859224  0.20155537                 5      circular halo                                  
