|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|      float|     float|     float|    float|          float|        float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|               |             |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|       null|      null|      null|     null|           null|         null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                    null|           null|            null|
          1.1  10.7668915 1750.0209 1583.4285   400.8901   0.20388949   0.20741287  48.284405        1.0  0.4010499   0.7786913   417.9563  49.250114 2.4843087    0.0015935302  0.0043830886  400.89233    -0.05846286     0.09825958     7.2144513  291.1441  71.72902 2925p711    1 2925p711w1o0032581e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  15.992436   0.13140719                 5                            circular halo                                  
          1.2   27.503952 1737.0754 1587.7534  1537.8575  0.060298245  0.056744672   52.03878        1.0  20.890741   0.8959902  1552.5458   52.96713  2.482167    -0.009401619  0.0013128155  1539.3689    0.010199222  -0.0138900215      10.87716 291.13428 71.719055 2925p711    1 2925p711w1o0032451e000    2       1           32          0     0       0 55213.656 55221.863 55217.758   14.53271  0.036753736                 5                            circular halo                                  
          1.3    29.93008 1746.4746 1574.8866  211.54549   0.39572176   0.39294446  48.424496        1.0  0.7549471  0.68153685  196.68945  49.365574 2.4862907   -0.0072163343   0.008377056  212.83655     0.34490186     -0.5809497      9.149469  291.1651 71.726456 2925p711    1 2925p711w1o0056640e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  16.686491   0.25301668                 5                            circular halo                                  
          1.4   30.510223   1747.71 1596.8285  733.10443    0.1124414  0.113712475   53.10518        1.0  0.8758591   0.8115455    787.392   54.19296 2.4845743   -0.0031771064  0.0027071757   732.8053   -0.013854506   0.0013405075      5.911669  291.1116  71.72702 2925p711    1 2925p711w1o0032561e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.337086   0.07878737                 5                            circular halo                                  
          1.5   39.804184 1760.9683 1582.4452  447.66714   0.18259473   0.18540323  48.289726        1.0  0.5977825  0.83395505   440.9238  49.250042 2.4844465     0.002732575   0.003948711  447.67725   -0.012782656    0.028650891      4.406478  291.1459   71.7374 2925p711    1 2925p711w1o0032710e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  15.872612  0.117575526                 5                            circular halo                                  
          1.6   43.029907 1756.5361 1598.0778  245.69029   0.33329457   0.34227937  48.279743        1.0  0.5150967   0.6105893  283.28522   49.23624 2.4859078   -0.0044436455  0.0070884065  245.97194     0.25508207    -0.34019265     2.1877565 291.10806 71.733734 2925p711    1 2925p711w1o0041952e000    2       1           32          0     0       0 55213.656 55221.863 55217.758   16.52403   0.21616587                 5                            circular halo                                  
          1.7   48.686546 1730.5688 1578.8693  1894.8772   0.04350714   0.04403231   48.88447  0.9999999  2.1491554  0.93163854  1905.0215  49.860474  2.486224    -0.001950562  0.0009424517  1894.8763   -0.016685301   0.0008155795     13.366058 291.15628  71.71424 2925p711    1 2925p711w1o0032386e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  14.306047  0.028016314                 5                            circular halo                                  
          1.8   49.420036 1731.1787 1594.5126  358.05225   0.22870378   0.23221458  48.345413 0.99999994 0.72562915   0.6114557   344.1343  49.318954 2.4863324     0.008982956   0.005042177  358.05728   0.0047845813  -0.0140746785     12.869945 291.11816  71.71444 2925p711    1 2925p711w1o0032387e000    2       1           33          0     0       0 55213.656 55221.863 55217.758  16.115133   0.14750047               0,5 bright star core and wings,circular halo                                  
