|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|          float|        float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|               |             |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|           null|         null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|              null|           null|            null|
          1.1    22.23339 1746.4746 1574.8866  211.54549   0.39572176   0.39294446  48.424496        1.0  0.7549471 0.68153685  196.68945  49.365574 2.4862907   -0.0072163343   0.008377056  212.83655     0.34490186     -0.5809497      9.149469  291.1651 71.726456 2925p711    1 2925p711w1o0056640e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  16.686491   0.25301668                 5      circular halo                                  
          1.2    30.72321 1763.0281 1570.9045  1437.1659  0.056966044   0.05869602   48.56334 0.99999994  0.8208007   0.958461  1439.8247  49.514034  2.479786    0.0015277267  0.0012450579  1437.1553   0.0006064225  -0.0029968645     3.0302544 291.17392  71.73917 2925p711    1 2925p711w1o0032729e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  14.606233   0.03670215                 5      circular halo                                  
          1.3    40.05156 1750.0209 1583.4285   400.8901   0.20388949   0.20741287  48.284405        1.0  0.4010499  0.7786913   417.9563  49.250114 2.4843087    0.0015935302  0.0043830886  400.89233    -0.05846286     0.09825958     7.2144513  291.1441  71.72902 2925p711    1 2925p711w1o0032581e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  15.992436   0.13140719                 5      circular halo                                  
          1.4   41.412926 1741.6724 1558.0544   241.4451    0.3388536    0.3430247  48.222885 0.99999994  0.5553505 0.78323823  233.52422   49.18995  2.484102     0.014802754   0.007858957  241.44685   -0.009135352   0.0047105723     12.637906 291.20636  71.72307 2925p711    1 2925p711w1o0032500e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  16.542953   0.21980427                 5      circular halo                                  
          1.5   44.410316 1760.9683 1582.4452  447.66714   0.18259473   0.18540323  48.289726        1.0  0.5977825 0.83395505   440.9238  49.250042 2.4844465     0.002732575   0.003948711  447.67725   -0.012782656    0.028650891      4.406478  291.1459   71.7374 2925p711    1 2925p711w1o0032710e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  15.872612  0.117575526                 5      circular halo                                  
          1.6   49.475513 1760.1749 1552.9633   5274.417  0.020663628   0.02071135   74.27737  0.7910063  422.12042 0.98334503  5362.5396   75.65447 2.4810317     -0.02623415 0.00070601684  5553.0044     0.12109041   -0.107599825      2.596767  291.2178  71.73728 2925p711    1 2925p711w1o0032695e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  13.194564  0.015290966                 5      circular halo                                  
          1.7   51.477463 1755.2109 1550.5541  1356.0482   0.08265437   0.07472813   66.77986 0.99897456   3.091323  0.9267605  1417.2104   67.98437 2.4867804     0.003196299   0.001922639  1357.2257    0.006831056  -0.0106374575     5.3774533  291.2239  71.73353 2925p711    1 2925p711w1o0032640e000    1       1           32          0     0       0 55213.656 55221.863 55217.758 14.6693125  0.053511415                 5      circular halo                                  
          1.8   61.101532 1733.0781 1557.3774   893.7781    0.0959423  0.093490526   50.25444        1.0  1.2587651  0.9248903   902.0047   51.22601 2.4841683    0.0007305145  0.0021323415  893.76855   0.0035680025    0.012581578     15.619749 291.20847  71.71652 2925p711    1 2925p711w1o0032408e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  15.121925   0.06111214                 5      circular halo                                  
