|source_label|target_dist|        x|        y|      flux|         dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|       float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|       null|        null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|              null|           null|            null|
          1.1   19.996172 1827.8552 1573.4733  451.54236   0.2566517    0.2605623    68.3861  0.9996394 0.64115804  0.9662843  433.43146   69.57952 2.4856703    0.013269126  0.0058537964   451.5224  -0.0014480992    0.017374896    0.44341525 291.16415  71.78862 2925p711    1 2925p711w1o0033378e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.863254    0.1657096                 5      circular halo                                  
          1.2   29.168152 1826.1262  1556.613  791.94946  0.14633903   0.14855385   68.44684  0.9998021  0.4761145   0.993352  757.61224  69.812164 2.4847872   0.0030577779    0.00316114   791.9463    0.003348778   -0.011416357    -1.0104486 291.20544  71.78758 2925p711    1 2925p711w1o0033364e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.253257   0.09407303                 5      circular halo                                  
          1.3   42.340363 1813.3907 1577.8507   729.2852  0.11240547  0.113802224   48.40456  0.9998423  0.6889467  0.9269388     731.53  49.497433 2.4859614  -0.0024709105  0.0024158605  729.28015    0.013387042   -0.004699713     -1.427741 291.15424 71.777504 2925p711    1 2925p711w1o0033237e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  15.342756  0.072169214                 5      circular halo                                  
          1.4   44.908962 1830.4531  1582.245  474.77795  0.17472868   0.17909268  48.505558 0.99995744   1.443544 0.52940685   467.8759  49.635918  2.488012    0.006147623  0.0036236767  474.75803  -0.0055349586   0.0018733061     1.0770358 291.14258  71.79046 2925p711    1 2925p711w1o0056803e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  15.808774   0.11131229                 5      circular halo                                  
          1.5   49.406666 1817.2509 1550.5898   306.7348   0.3781174    0.3836618   68.39072  0.9991204   0.677707 0.88637894  332.82748   69.75733  2.487265    0.010456979   0.008377609   306.7641     0.13383278    -0.06472091     -3.603952  291.2206  71.78091 2925p711    1 2925p711w1o0033267e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  16.283092   0.24621528                 5      circular halo                                  
          1.6    50.29004 1832.1626 1583.6356  1427.5637 0.057558987   0.05865508   48.67089  0.9999998  1.1704668  0.8350933  1415.2869  49.798466 2.4850674   0.0024888515  0.0012443485  1427.4543    0.002342701  -0.0013165658     1.3646892 291.13907  71.79173 2925p711    1 2925p711w1o0033418e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  14.613511   0.03703109                 5      circular halo                                  
          1.7   50.636845  1823.288 1548.6958  781.48395  0.14855434    0.1506054   68.48708   0.999833  1.4065561 0.98069483  774.69464    69.8556 2.4866269   0.0044618845  0.0031970672  781.48627     0.00850064   -0.009618884    -2.8362842  291.2249 71.785545 2925p711    1 2925p711w1o0033327e000    1       1           32          0     0       0 55213.656 55221.863 55217.758    15.2677  0.095395595                 5      circular halo                                  
          1.8    53.07815  1805.856 1561.6893   753.1283  0.15411808   0.15980771    83.8364 0.84344757  0.8091052 0.99114174   765.7972   85.54833 2.4839272    0.004394114   0.004184441   749.2537   -0.035818562   -0.023861911    -2.4668958 291.19412  71.77202 2925p711    1 2925p711w1o0033163e000    0       1           32          0     0       0 55213.656 55221.863 55217.758  15.307828  0.121364504                 5      circular halo                                  
