|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|          float|        float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|               |             |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|           null|         null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                    null|           null|            null|
          1.1   23.268736 1741.6724 1558.0544   241.4451    0.3388536    0.3430247  48.222885 0.99999994  0.5553505 0.78323823  233.52422   49.18995  2.484102     0.014802754   0.007858957  241.44685   -0.009135352   0.0047105723     12.637906 291.20636  71.72307 2925p711    1 2925p711w1o0032500e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  16.542953   0.21980427                 5                            circular halo                                  
          1.2   25.364689 1746.4746 1574.8866  211.54549   0.39572176   0.39294446  48.424496        1.0  0.7549471 0.68153685  196.68945  49.365574 2.4862907   -0.0072163343   0.008377056  212.83655     0.34490186     -0.5809497      9.149469  291.1651 71.726456 2925p711    1 2925p711w1o0056640e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  16.686491   0.25301668                 5                            circular halo                                  
          1.3    36.45553 1733.0781 1557.3774   893.7781    0.0959423  0.093490526   50.25444        1.0  1.2587651  0.9248903   902.0047   51.22601 2.4841683    0.0007305145  0.0021323415  893.76855   0.0035680025    0.012581578     15.619749 291.20847  71.71652 2925p711    1 2925p711w1o0032408e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  15.121925   0.06111214                 5                            circular halo                                  
          1.4    44.33957 1726.6979 1564.8911  505.36728   0.16601896   0.16545154  48.689236        1.0  0.8299359  0.8136938  487.73126    49.6335 2.4840574    -0.005117595   0.003542593  505.05765    -0.04006825   0.0026381952       16.1139  291.1905 71.711525 2925p711    1 2925p711w1o0032331e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  15.740982  0.104929924                 5                            circular halo                                  
          1.5   44.836094 1727.8074 1559.9158  231.60254   0.35265917   0.35703763  48.207516  1.0000001  0.9342735 0.69278604  220.99408  49.168365 2.4816787    -0.009069681   0.007891075  231.60623   0.0064229663    -0.10867766     16.488342 291.20255 71.712456 2925p711    1 2925p711w1o0032343e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  16.588142   0.22934473                 5                            circular halo                                  
          1.6   47.835373 1730.5688 1578.8693  1894.8772   0.04350714   0.04403231   48.88447  0.9999999  2.1491554 0.93163854  1905.0215  49.860474  2.486224    -0.001950562  0.0009424517  1894.8763   -0.016685301   0.0008155795     13.366058 291.15628  71.71424 2925p711    1 2925p711w1o0032386e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  14.306047  0.028016314                 5                            circular halo                                  
          1.7   50.792175 1750.0209 1583.4285   400.8901   0.20388949   0.20741287  48.284405        1.0  0.4010499  0.7786913   417.9563  49.250114 2.4843087    0.0015935302  0.0043830886  400.89233    -0.05846286     0.09825958     7.2144513  291.1441  71.72902 2925p711    1 2925p711w1o0032581e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  15.992436   0.13140719                 5                            circular halo                                  
          1.8    53.15521  1723.971 1571.0431  238.41222    0.3420816   0.34675753   48.16173        1.0 0.45904315 0.63229513  230.74384   49.11947 2.4794593    0.0021817684  0.0075023086  238.42119 -0.00023459317 -5.8713722e-05     16.194483  291.1757 71.709335 2925p711    1 2925p711w1o0032294e000    2       1           32          0     0       0 55213.656 55221.863 55217.758  16.556679   0.22238865                 5                            circular halo                                  
