|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|           yiso|       sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|          float|     float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |               |      nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|           null|      null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|              null|           null|            null|
          1.1    2.275321 2010.2877  844.4665  116.77094  0.33828306  0.33632356   22.47125 0.99999994 0.73830694  0.8683158  103.96461  22.918093  2.492619    0.010697305  0.0069891023  116.77689    0.015172981     0.019027468  17.148325 340.94525  -18.93397 3408m197    1 3408m197w1o0030964e000   12       1           32          0     0       1 55340.508 55351.688 55346.098  17.331663  0.21157572                 5      circular halo                                  
          1.2   10.736741 2012.5006  840.7039  123.07193  0.32780918   0.3342416  23.389124        1.0   0.884096 0.83606994 106.561806  23.830725 2.4924366    0.008865595   0.006891409 123.025696    -0.07838434     0.008123345   17.52135 340.94827 -18.932278 3408m197    1 3408m197w1o0030972e000   11       1           32          0     0       1 55340.508 55351.688 55346.098  17.274603  0.20887738                 5      circular halo                                  
          1.3   13.319192 2006.2758 844.00256  109.06517  0.35063124  0.35040203  22.200228  1.0000001  0.6554369  0.7874541   104.8249   22.66712 2.4860303    0.015853405   0.008061435  109.06446  -0.0098841535    -0.001695778  16.352825 340.94562 -18.937033 3408m197    1 3408m197w1o0030955e000   12       1           32          0     0       1 55340.508 55351.688 55346.098  17.405785  0.22413214                 5      circular halo                                  
          1.4   15.866112 2006.8529  848.2499  158.16415  0.24292961  0.24067004  22.176485        1.0  0.6125674   0.840943  154.32773  22.630754 2.4871538   0.0059212446  0.0051257247  158.13843   -0.025506396    -0.003340313  15.857751  340.9422 -18.936596 3408m197    1 3408m197w1o0025828e000   12       1           32          0     0       1 55340.508 55351.688 55346.098   17.00223  0.15324257                 5      circular halo                                  
          1.5   17.166506 2010.7191  838.1207  112.12569  0.35588363   0.3566795  23.164976  1.0000001 0.45005065  0.7057003  94.445564  23.622887  2.486974    0.007403195  0.0076277656  112.15382     0.17593947     0.110057466  17.154268 340.95038 -18.933636 3408m197    1 3408m197w1o0025892e000   11       1           32          0     0       1 55340.508 55351.688 55346.098  17.375738    0.227587                 5      circular halo                                  
          1.6   19.139713 2005.8064  839.8402 102.464096   0.4056449  0.39380163  23.689438        1.0 0.83996844  0.7667021   88.58298  24.148314 2.4861104    0.006466508   0.008641462 102.458885  -0.0063803657    -0.011434655  16.647982 340.94897  -18.93739 3408m197    1 3408m197w1o0035052e000   11       1           32          0     0       1 55340.508 55351.688 55346.098   17.47357   0.2556411                 5      circular halo                                  
          1.7   20.419239 2018.5188  844.8228  134.19838  0.29219595   0.2867382  22.429188  1.0000001   1.473106  0.9663535  119.04124  22.871443  2.490076 -0.00077939034   0.005978453  134.21341   -0.072955064    -0.059070185  19.024475 340.94495 -18.927683 3408m197    1 3408m197w1o0030989e000   12       0           32          0     0       1 55340.508 55351.688 55346.098  17.180632  0.18318258                 5      circular halo                                  
          1.8   20.642733 2004.1346  847.1351  125.64869  0.31951714  0.31301108  23.177647 0.99999994 0.72326654  0.7146755   124.8169  23.634357  2.484898    0.002089262   0.006798279 125.613365    0.010275494     0.007110512  15.391624 340.94308 -18.938671 3408m197    1 3408m197w1o0025791e000   11       1           32          0     0       1 55340.508 55351.688 55346.098  17.252106  0.20259833                 5      circular halo                                  
