|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs| dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|           xiso|          yiso|           sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|    float|    float|         float|        float|     float|          float|         float|         float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|     nMgy|      pix|              |             |          |               |              |          nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|     null|     null|          null|         null|      null|           null|          null|          null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                    null|           null|            null|
          1.1  0.35623008 1594.1628 489.00812  208.42723  0.16546223  0.16899659   20.30308        1.0  0.9910077  0.4121961  193.49966 20.717936  2.526275    0.010052621  0.0037371106  208.41568    -0.004776757   -0.011112402     -1.5742304 341.58038   -51.0534 3409m515    1 3409m515w1o0022212e000   12       1           32          0     0       1 55325.562 55329.332 55327.445  16.702614  0.10609899                 5                            circular halo                                  
          1.2   11.454331 1596.0513  485.1582  113.33109  0.29644302  0.30016205  19.554049        1.0  0.5123738 0.24954309  95.894585 19.972116 2.5262325     0.01189214   0.006670995  113.32017     0.011838984    0.023531934     -2.3214762 341.58505  -51.05193 3409m515    1 3409m515w1o0039597e000   13       1           33          0     0       1 55325.562 55329.332 55327.445  17.364128  0.18922487               0,5 bright star core and wings,circular halo                                  
          1.3   17.176662 1592.6632  494.9569  216.22325  0.15885279  0.15957977  19.830631        1.0 0.87288034  0.3266485  207.88626 20.236383 2.5293489    0.008992672  0.0034518528  216.01595    0.0008420736     0.05612608      -1.056994 341.57318  -51.05458 3409m515    1 3409m515w1o0041938e000   13       1           32          0     0       1 55325.562 55329.332 55327.445  16.662745  0.09985746                 5                            circular halo                                  
          1.4    17.70846 1595.8414 495.15747   198.3587  0.17227009  0.17535408  20.039408  0.9999999 0.46070045 0.28420168  187.00748 20.440239 2.5273547    0.004379332  0.0037144397  198.37408     -0.09373348    -0.08686238     -0.8728402  341.5729 -51.052155 3409m515    1 3409m515w1o0041940e000   12       1           32          0     0       1 55325.562 55329.332 55327.445  16.756372   0.1100632                 5                            circular halo                                  
          1.5   19.608345 1594.3468 496.04654  376.10742  0.09124974  0.09381695  20.162697        1.0  0.4903404  0.4144809  364.33032 20.564955 2.5295234   0.0021692514  0.0019731007   376.4148     -0.06627846   -0.097879775     -0.8991725 341.57184 -51.053303 3409m515    1 3409m515w1o0022225e000   13       1           32          0     0       1 55325.562 55329.332 55327.445   16.06172 0.058260933                 5                            circular halo                                  
          1.6   20.946613 1596.5333 481.64752   90.64776  0.37655666    0.381024  19.849092        1.0 0.51845276 0.18797393   73.15827   20.2757 2.5347893    0.010407209    0.00814865    90.5742      0.15686385     0.04871481     -3.3147879  341.5893 -51.051537 3409m515    1 3409m515w1o0042444e000   13       1           33          0     0       1 55325.562 55329.332 55327.445  17.606607    0.241656               0,5 bright star core and wings,circular halo                                  
          1.7     23.5556 1595.8431  497.3339  260.00552  0.13306461  0.13405958  20.226639        1.0  0.4172372 0.31175077  247.56395  20.62709 2.5300732   0.0023991466  0.0028493702  259.71658       0.1403812    0.065159075    -0.69706595 341.57025  -51.05217 3409m515    1 3409m515w1o0039603e000   12       1           32          0     0       1 55325.562 55329.332 55327.445  16.462543 0.084633835                 5                            circular halo                                  
          1.8   24.157555 1591.9434  497.3923  215.70274  0.15868291  0.15936795  19.817947        1.0 0.56904805 0.36594227  206.39674 20.225271 2.5297353   0.0055162907   0.003398412  215.51778     0.105693415    -0.03897123    -0.90840536 341.57022  -51.05515 3409m515    1 3409m515w1o0039577e000   13       1           32          0     0       1 55325.562 55329.332 55327.445  16.665361  0.10003542                 5                            circular halo                                  
