|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|          float|        float|     float|         float|         float|       float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|               |             |          |              |              |        nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|           null|         null|      null|          null|          null|        null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|              null|           null|            null|
          1.1   0.1740862 1708.3727   470.279  223.99803  0.14372212  0.14610863  18.828033        1.0  0.6765821   0.785565  216.81564  19.208277 2.5328383    0.0034022331  0.0030766309  224.00311   0.0024601156   0.0012999689    5.7876887 341.60187 -50.966038 3409m515    1 3409m515w1o0023812e000   15       1           32          0     0       1 55325.562 55329.332 55327.445   16.62439  0.09147681                 5      circular halo                                  
          1.2    8.974847 1706.0137 468.02118  100.72541  0.31161124  0.31712168  18.193668        1.0  0.6059471  0.5426597   91.07017   18.56275 2.5249689    0.0016213655   0.006610175 100.722244   -0.012546966   -0.026432088    5.9749045 341.60464 -50.967823 3409m515    1 3409m515w1o0039972e000   15       1           32          0     0       1 55325.562 55329.332 55327.445  17.492153   0.1982882                 5      circular halo                                  
          1.3   14.113809 1705.9607 474.74002   96.06322  0.32351243   0.3288823   18.34593        1.0   0.510895 0.61355305   80.24071  18.736248  2.527736     0.018417656   0.007855028   96.05857  -0.0059119617   -0.010850862    4.9342437  341.5965  -50.96791 3409m515    1 3409m515w1o0039973e000   14       1           32          0     0       1 55325.562 55329.332 55327.445  17.543608  0.20992891                 5      circular halo                                  
          1.4   19.415133 1701.9624  473.0994 114.012566   0.2725183  0.27970335  18.467455        1.0  1.3096762  0.5970236  107.29815  18.850353 2.5254917     0.009904981   0.006246468  114.01048   0.0023366737  -0.0028973971    4.9448857  341.5985  -50.97095 3409m515    1 3409m515w1o0023734e000   14       1           32          0     0       1 55325.562 55329.332 55327.445  17.357618  0.17742741                 5      circular halo                                  
          1.5   20.208803 1701.7262 467.18655  182.08772  0.17612143   0.1793418   18.79473 0.99999994  0.6551373  0.6964154  175.86626  19.169628 2.5297487     0.007262826  0.0038562901  182.08105   -0.007646901    0.006221707     5.969796 341.60568 -50.971092 3409m515    1 3409m515w1o0023733e000   14       1           32          0     0       1 55325.562 55329.332 55327.445  16.849298  0.11246803                 5      circular halo                                  
          1.6   27.667465 1714.5099  462.2256   88.14099  0.34217843  0.34572202  17.478052        1.0   1.752991  0.6705176  88.370476   17.84938  2.532869    -0.009552121   0.007363963   88.01024    -0.09483326    -0.25532225     6.197047 341.61157 -50.961292 3409m515    1 3409m515w1o0040005e000   16       1           32          0     0       1 55325.562 55329.332 55327.445  17.637054  0.21818814                 5      circular halo                                  
          1.7   30.693048  1707.149 459.14166  209.29901   0.1460198  0.14743574   17.82181  0.9999999 0.75224864 0.73650515  206.67744   18.18837 2.5270154    0.0026792884  0.0031408395  209.31067    0.005453992   0.0033451288      6.07275  341.6154 -50.966892 3409m515    1 3409m515w1o0023801e000   16       1           32          0     0       1 55325.562 55329.332 55327.445  16.698082  0.09267484                 5      circular halo                                  
          1.8    31.72438 1719.0187  474.7774   147.0268  0.23085539  0.23786207  19.833078  0.9999999 0.40793377 0.78970623  137.60953  20.218248 2.5270627   -0.0020512342  0.0049834284  147.12816    -0.06664554    -0.04301914     6.009976 341.59628 -50.957935 3409m515    1 3409m515w1o0023967e000   13       1           32          0     0       1 55325.562 55329.332 55327.445  17.081509  0.14735782                 5      circular halo                                  
