|source_label|target_dist|        x|        y|      flux|         dx|         dy|    dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|    float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|        float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|     nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |         nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|       null|       null|     null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|         null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                    null|           null|            null|
          1.1  0.78569806 1524.4397 405.38297  129.49818   0.2964061  0.30115864 22.493507        1.0 0.44068956 0.30485928  139.55283   22.95859 2.5350308    0.005935669  0.0063276426  129.51785    0.013816821    0.015159086    -0.5617336 341.68286  -51.10604 3409m515    1 3409m515w1o0039336e000   10       1           32          0     0       1 55325.562 55329.332 55327.445  17.219341  0.19052139                 5                            circular halo                                  
          1.2   14.203026 1524.3967  410.4941  154.89845  0.24701911  0.25086716 22.326216        1.0 0.69174266 0.33758515  157.47308  22.790548  2.535334  -0.0057368875  0.0052138255  154.89879   0.0036178194     0.18061072    -0.8498122 341.67664 -51.106113 3409m515    1 3409m515w1o0039337e000   10       1           33          0     0       1 55325.562 55329.332 55327.445  17.024881   0.1575895               0,5 bright star core and wings,circular halo                                  
          1.3   26.619518 1532.6324 410.91898  463.97522  0.08306697 0.084728844 22.641758        1.0  1.3704591  0.5213759  456.06787  23.105782 2.5300348    0.005990386   0.001818075  463.99307   -0.011117347  -0.0025500504   -0.78312784 341.67603 -51.099827 3409m515    1 3409m515w1o0021417e000   10       1           33          0     0       1 55325.562 55329.332 55327.445  15.833763  0.05302549               0,5 bright star core and wings,circular halo                                  
          1.4    30.12172 1519.8177 415.13452  104.82671  0.38134715  0.38747236  23.35513        1.0  0.4347846 0.29684353  102.18187  23.806839 2.5274336  -0.0012972355   0.008201163  104.83044    -0.28315955     0.12743324     -1.075376 341.67105  -51.10965 3409m515    1 3409m515w1o0041894e000    9       1           32          0     0       1 55325.562 55329.332 55327.445   17.44882   0.2460254                 5                            circular halo                                  
          1.5   37.273205 1511.3906 407.79117   108.6472    0.360581   0.3592116 23.205372  0.9999999  0.3630491  0.3684217  100.80367  23.679068 2.5319118    0.008753896    0.00810677  108.68597    0.016658468   -0.012713831   -0.03942278 341.68008 -51.116028 3409m515    1 3409m515w1o0039284e000    9       1           32          0     0       1 55325.562 55329.332 55327.445  17.409954  0.23552255                 5                            circular halo                                  
          1.6    38.42952 1538.3546 408.41553  134.46097  0.28873757  0.29673257 23.012142        1.0 0.41560566 0.19767198  116.37317    23.4816 2.5344055   -0.004383445  0.0062120543  134.50009    -0.06147967     -0.0730091   -0.33071792   341.679  -51.09544 3409m515    1 3409m515w1o0039375e000    9       1           33          0     0       1 55325.562 55329.332 55327.445  17.178509  0.18766366               0,5 bright star core and wings,circular halo                                  
          1.7   42.418858 1523.7725   389.942  212.31203  0.18013698  0.18219087 22.293404        1.0 0.26651412  0.4155044  217.53836  22.752071 2.5275152   0.0015832782  0.0038559304  212.30258   -0.005231245  -0.0028708114    0.20705923 341.70166  -51.10643 3409m515    1 3409m515w1o0039335e000   10       1           32          0     0       1 55325.562 55329.332 55327.445  16.682564   0.1144274                 5                            circular halo                                  
          1.8    45.70704 1520.9938  389.1406  421.54016  0.09065932  0.09232337  22.42883 0.99999994 0.38760573 0.62964475   425.2143  22.887445 2.5258656  -0.0011053681  0.0019706048   421.5361    0.008834767   -0.016983692    0.39420286 341.70267 -51.108547 3409m515    1 3409m515w1o0021263e000   10       1           32          0     0       1 55325.562 55329.332 55327.445  15.937902 0.057823233                 5                            circular halo                                  
