|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|           sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                                                                              flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|         float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                                                                            char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |          nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                                                                                |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|          null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                                                                            null|           null|            null|
          1.1   1.3079904 1676.9723 380.25244  191.61562    0.1753997   0.17771469  19.621126  1.0000001 0.38891873 0.45274204    203.323  20.036903 2.5275834  -0.0025593638  0.0037662599  191.69452   -0.011195424   -0.052523494      0.6869007 341.71146  -50.98934 3409m515    1 3409m515w1o0023391e000   13       1           32          0     0       1 55325.562 55329.332 55327.445  16.793922  0.111568645                 5                                                                                    circular halo                                  
          1.2    5.338901 1678.3696 382.22464  137.55733   0.24580272    0.2506035  19.869537        1.0  0.6935296 0.33345038  153.26837  20.286325  2.531911   -0.009739876    0.00545057  138.11375      0.2467307    -0.17716534     0.45723134 341.70905 -50.988293 3409m515    1 3409m515w1o0042456e000   13       1           32          0     0       1 55325.562 55329.332 55327.445  17.153791    0.1579343                 5                                                                                    circular halo                                  
          1.3    30.25709 1676.5326  369.6537   282.0093   0.12539014   0.12774685  20.618837 0.99999994  1.7429148  0.6325178   275.4725   21.03187 2.5347135     0.01085633   0.002743245  281.99792   -0.014112217   -0.009280415      1.0946397  341.7243 -50.989594 3409m515    1 3409m515w1o0023356e000   12       1           32          0     0       1 55325.562 55329.332 55327.445  16.374342   0.07952445                 5                                                                                    circular halo                                  
          1.4   35.279236 1665.7554  386.3205  111.41906   0.31693655   0.32347783  20.459343        1.0  0.6327022 0.22518647 118.195625  20.877132 2.5313587    0.010318339   0.006838699  111.42721   -0.031097595    0.019311482      2.4173355 341.70422  -50.99796 3409m515    1 3409m515w1o0039836e000   12       1           32          0     0       1 55325.562 55329.332 55327.445    17.3826   0.20165573                 5                                                                                    circular halo                                  
          1.5    38.49411  1683.305 393.25864  811.70984  0.040762287  0.041359764  19.494675  1.0000001  1.9726769  0.7639242   824.1979  19.903336  2.531453   0.0044112206 0.00088660023  811.68536    0.009021739    0.005713029      0.8553545  341.6956  -50.98461 3409m515    1 3409m515w1o0023458e000   14       1           33          0     0       1 55325.562 55329.332 55327.445  15.226498  0.026080947               0,5                                                         bright star core and wings,circular halo                                  
          1.6    49.32148 1674.4471 398.34943   97.78032   0.34793136   0.35370934  19.671938        1.0   0.618603 0.24271373   96.88035  20.072517  2.534661    0.005455792   0.007218364  97.737595    -0.26774493    -0.30686057      2.7768824  341.6895 -50.991417 3409m515    1 3409m515w1o0039865e000   13       1           33          0     0       1 55325.562 55329.332 55327.445  17.524372   0.22145464               0,5                                                         bright star core and wings,circular halo                                  
          1.7   49.443974 1687.4473 395.44815  158.05739   0.21055084    0.2113224  19.287952        1.0   1.137528  0.3630944  163.79132  19.684467 2.5356457   0.0068855286  0.0044410513  158.11928     0.05316752   -0.018455017     0.86051106 341.69287 -50.981464 3409m515    1 3409m515w1o0039911e000   13       1           32          0     0       1 55325.562 55329.332 55327.445  17.002962   0.13315742                 5                                                                                    circular halo                                  
          1.8    50.06697 1659.8193 375.39343  333.45877  0.106560744  0.108402565  20.722033        1.0  0.4504724  0.5046228   346.0962   21.15251 2.5312023   0.0017822981  0.0022577285  333.46338  -0.0014021838    0.011130109      2.4737644 341.71756 -51.002403 3409m515    1 3409m515w1o0023129e000   12       1           33          0     0       1 55325.562 55329.332 55327.445  16.192394   0.06755769               0,5                                                         bright star core and wings,circular halo                                  
