|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|           sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                                                                              flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|          float|        float|     float|         float|         float|         float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                                                                            char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|               |             |          |              |              |          nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                                                                                |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|           null|         null|      null|          null|          null|          null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                                                                            null|           null|            null|
          1.1  0.32753348 1676.5326  369.6537   282.0093  0.12539014  0.12774685  20.618837 0.99999994  1.7429148  0.6325178   275.4725   21.03187 2.5347135      0.01085633   0.002743245  281.99792   -0.014112217   -0.009280415      1.0946397  341.7243 -50.989594 3409m515    1 3409m515w1o0023356e000   12       1           32          0     0       1 55325.562 55329.332 55327.445  16.374342  0.07952445                 5                                                                                    circular halo                                  
          1.2   28.668741 1672.9062 359.76685 127.290985  0.27567416  0.28247282  20.427635        1.0  0.7296488  0.3021031 122.428276  20.847822 2.5276864     0.010490835   0.006089977  127.28935  -0.0011717712   -0.017070265      1.4588687 341.73636  -50.99228 3409m515    1 3409m515w1o0039863e000   12       1           32          0     0       1 55325.562 55329.332 55327.445  17.238007  0.17575811                 5                                                                                    circular halo                                  
          1.3   29.397636 1676.9723 380.25244  191.61562   0.1753997  0.17771469  19.621126  1.0000001 0.38891873 0.45274204    203.323  20.036903 2.5275834   -0.0025593638  0.0037662599  191.69452   -0.011195424   -0.052523494      0.6869007 341.71146  -50.98934 3409m515    1 3409m515w1o0023391e000   13       1           32          0     0       1 55325.562 55329.332 55327.445  16.793922 0.111568645                 5                                                                                    circular halo                                  
          1.4   30.389849  1674.824 358.64163   562.2167    0.062988  0.06395815  20.789785  1.0000001  1.4354757  0.7373649   553.3683  21.213732  2.530707     0.003443718  0.0013622679    562.275  -0.0072341147   -0.011497478       1.420886  341.7377 -50.990807 3409m515    1 3409m515w1o0023342e000   12       1           32          0     0       1 55325.562 55329.332 55327.445   15.62524  0.04016695                 5                                                                                    circular halo                                  
          1.5   35.185726 1678.3696 382.22464  137.55733  0.24580272   0.2506035  19.869537        1.0  0.6935296 0.33345038  153.26837  20.286325  2.531911    -0.009739876    0.00545057  138.11375      0.2467307    -0.17716534     0.45723134 341.70905 -50.988293 3409m515    1 3409m515w1o0042456e000   13       1           32          0     0       1 55325.562 55329.332 55327.445  17.153791   0.1579343                 5                                                                                    circular halo                                  
          1.6   41.031025 1675.0741  354.7153  291.51416  0.12020411  0.12201863  20.481997        1.0 0.70119846 0.56019646  287.58545  20.906513 2.5283554    0.0012155771  0.0025707504   291.5568     0.03540494   -0.046748046       1.492593 341.74246  -50.99058 3409m515    1 3409m515w1o0023341e000   12       1           32          0     0       1 55325.562 55329.332 55327.445   16.33835  0.07641051                 5                                                                                    circular halo                                  
          1.7    42.17676 1680.5718 354.80106  150.41191  0.23465072  0.23576432  20.607004  1.0000001  0.5253956 0.51652855  139.16405  21.026657 2.5321462    0.0027820468  0.0049508903  150.41393    -0.00309148 -0.00044173616      1.3089153 341.74228 -50.986385 3409m515    1 3409m515w1o0023419e000   11       1           32          0     0       1 55325.562 55329.332 55327.445  17.056795  0.14969134                 5                                                                                    circular halo                                  
          1.8    42.76409 1677.2578 354.04315   192.3281  0.18366921   0.1845847  20.681534        1.0 0.42152303 0.47091788   185.4739  21.107914  2.527994    0.0019519329   0.003945067  192.36765   -0.015129782  0.00023015882      1.4585541 341.74326 -50.988907 3409m515    1 3409m515w1o0039879e000   11       1           32          0     0       1 55325.562 55329.332 55327.445  16.789894  0.11720516                 5                                                                                    circular halo                                  
