|source_label|target_dist|        x|        y|      flux|         dx|         dy|    dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|      mag|       dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|    float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|       float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|    float|      float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|     nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |        nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|      mag|        mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|       null|       null|     null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|        null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|     null|       null|             null|                                    null|           null|            null|
          1.1  0.71619534 1543.1248  362.9065  173.16164  0.21142626  0.21397655 21.638323  0.9999999 0.54892796 0.38498643  171.33868  22.085451 2.5261695   0.0032134652    0.00463657    173.137   -0.009148957    0.047767922    1.2418115 341.73428 -51.091427 3409m515    1 3409m515w1o0039385e000   10       1           32          0     0       1 55325.562 55329.332 55327.445 16.903872  0.13638674                 5                            circular halo                                  
          1.2   11.132484 1542.6522 358.93103 102.970665   0.3533724   0.3617254 21.327553 0.99999994  0.6961855 0.29193142  101.43187   21.76814 2.5296643   0.0021768212  0.0076079443  103.01373   0.0037366345      0.0585486      1.54118 341.73914 -51.091755 3409m515    1 3409m515w1o0039384e000   11       1           32          0     0       1 55325.562 55329.332 55327.445 17.468216  0.22818169                 5                            circular halo                                  
          1.3   31.108692 1546.0258 373.83862  117.53452  0.31856737  0.31959924 21.489716        1.0  0.5802511  0.2269828   117.9491    21.9321  2.526162  -0.0012602806  0.0066671693 117.521454  0.00022062781    -0.00558671    0.5484349 341.72095 -51.089302 3409m515    1 3409m515w1o0039399e000   11       1           33          0     0       1 55325.562 55329.332 55327.445 17.324587  0.20077077               0,5 bright star core and wings,circular halo                                  
          1.4   31.459059 1549.2556 353.47818 115.619156   0.3151438  0.32117113 21.274973        1.0  1.1243353 0.30799502  116.83418  21.716778 2.5330746 -0.00012457371  0.0065959534  115.73291      0.5488964     0.25264567    1.8753597 341.74567 -51.086666 3409m515    1 3409m515w1o0039417e000   11       1           32          0     0       1 55325.562 55329.332 55327.445 17.342426  0.20208713                 5                            circular halo                                  
          1.5   35.874054 1533.0353  371.5429   139.3572  0.26499864  0.27160516  21.63104        1.0 0.43473533   0.313363  128.68246  22.086565 2.5301313   0.0043720603  0.0056924173  139.39742   -0.036810163     0.10026991    0.7710912  341.7239 -51.099205 3409m515    1 3409m515w1o0039367e000   11       1           32          0     0       1 55325.562 55329.332 55327.445 17.139677  0.16990149                 5                            circular halo                                  
          1.6   39.348537 1539.0219  349.1918   181.8348  0.20118286  0.20761646 21.413975        1.0  0.7563075   0.509838  180.01593  21.847052 2.5266006   -0.006463647  0.0043980577  182.08623    0.124618314    -0.10334962     2.317126   341.751 -51.094448 3409m515    1 3409m515w1o0021485e000   11       1           32          0     0       1 55325.562 55329.332 55327.445 16.850807  0.12845898                 5                            circular halo                                  
          1.7   39.652298 1530.5566 370.47433  350.61578  0.10655294 0.108931966 21.884844        1.0  1.0734148  0.5794799  340.03323    22.3407 2.5357242    0.005675733   0.002262963  350.65558  -0.0073923417    0.016950546   0.94213146 341.72525  -51.10109 3409m515    1 3409m515w1o0021394e000   10       1           32          0     0       1 55325.562 55329.332 55327.445 16.137922  0.06785808                 5                            circular halo                                  
          1.8    39.72054  1552.675  352.3623 119.849144  0.30616388   0.3091753 21.291971  1.0000001 0.74355257   0.303075   128.3738  21.735945 2.5333626     0.00348413  0.0064180302  119.84606    0.010689874    -0.06989271    1.8517618 341.74698 -51.084045 3409m515    1 3409m515w1o0039430e000   11       1           32          0     0       1 55325.562 55329.332 55327.445 17.303413  0.19495662                 5                            circular halo                                  
