|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|       float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |        nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|        null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|              null|           null|            null|
          1.1  0.04531785 1517.5566 355.05087   272.5836  0.13366956   0.1354299  21.293165        1.0  0.4325052 0.69652057   279.0572  21.736803 2.5306396   0.0034297705  0.0028619173  272.58197   -0.012379957    0.007098598    1.5382115 341.74417  -51.11089 3409m515    1 3409m515w1o0021225e000   11       1           32          0     0       1 55325.562 55329.332 55327.445  16.411251   0.0849866                 5      circular halo                                  
          1.2   12.352429 1518.1149  359.4935 102.220146  0.35535905   0.3607515  21.177248 0.99999994 0.32252833 0.43032318  103.70634  21.623764 2.5308588    -0.00907737   0.007747353  102.21681    -0.15532275      0.1314807    1.3849795 341.73877   -51.1105 3409m515    1 3409m515w1o0039307e000   11       1           32          0     0       1 55325.562 55329.332 55327.445  17.476158  0.22823876                 5      circular halo                                  
          1.3   15.994741 1511.8572  356.2453  127.03536  0.28576446   0.2938433  21.242002        1.0 0.99001586 0.54247993  132.57642  21.684917 2.5284727   -0.005885184   0.006193174  127.03861    -0.29249272    0.030357733     1.260355  341.7428 -51.115253 3409m515    1 3409m515w1o0033009e000   11       1           32          0     0       1 55325.562 55329.332 55327.445  17.240189  0.18327054                 5      circular halo                                  
          1.4   28.515965 1510.7893 362.90384  195.04941  0.19456951  0.19828245   22.19989        1.0 0.40133268   0.627396  199.66928   22.64665 2.5274997   0.0009915829   0.004191288  195.04758    0.005059472  0.00052118686    0.7724402  341.7347 -51.116127 3409m515    1 3409m515w1o0021137e000   10       1           32          0     0       1 55325.562 55329.332 55327.445   16.77464  0.12411276                 5      circular halo                                  
          1.5    33.95495  1527.307 347.47168  134.68736    0.271169  0.27684787  21.251663  0.9999999  0.4498836 0.51013196  125.94641  21.691536 2.5339725   0.0065506697  0.0057338392  134.69492     0.01806589    0.015263845    2.0809007 341.75327  -51.10338 3409m515    1 3409m515w1o0039349e000   11       1           32          0     0       1 55325.562 55329.332 55327.445  17.176683  0.17275633                 5      circular halo                                  
          1.6    34.17346 1506.6556  349.0526  282.23975  0.12877075  0.13073726  21.279388 0.99999994 0.56998837  0.7747148   289.3553  21.722004  2.529519  -0.0007343888  0.0027640155  282.23752     0.04848421   -0.007016696    1.6114838 341.75162 -51.119167 3409m515    1 3409m515w1o0021083e000   11       1           32          0     0       1 55325.562 55329.332 55327.445  16.373455  0.08201442                 5      circular halo                                  
          1.7   35.197662 1516.8098 342.25815  181.93518  0.19926965  0.20304894  21.221899  1.0000001  0.5671635 0.65658224  183.94327  21.661587 2.5294101   -0.005455792   0.004300893  181.92975     0.08463993   -0.038866244    2.1623342 341.75977  -51.11135 3409m515    1 3409m515w1o0021210e000   11       1           32          0     0       1 55325.562 55329.332 55327.445  16.850208   0.1272252                 5      circular halo                                  
          1.8    42.43947 1524.7306 341.37637  149.89973  0.24259843  0.24843182  21.249306  1.0000001  0.8262067 0.45426685   141.9546  21.688124 2.5325682  -0.0037993193   0.005123045  149.92152      0.1399375     0.18185823    2.4355955  341.7607 -51.105297 3409m515    1 3409m515w1o0039342e000   11       1           32          0     0       1 55325.562 55329.332 55327.445  17.060497  0.15495409                 5      circular halo                                  
