|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|    fracflux|   fluxlbs| dfluxlbs|     fwhm|   spread_model| dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|         dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|       float|     float|    float|    float|          float|         float|     float|         float|         float|       float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|        float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |            |      nMgy|     nMgy|      pix|               |              |          |              |              |        nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|          mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|        null|      null|     null|     null|           null|          null|      null|          null|          null|        null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|         null|             null|                                    null|           null|            null|
          1.1   0.3551253 1638.3207 346.53436  211.10959   0.18239139   0.18851097   22.78585        1.0  0.5951243    0.3540434  225.20644 23.256615 2.5341847    -0.001869142   0.0039011373  211.02444     0.01538414   -0.018049255    2.1465642  341.7529  -51.01858 3409m515    1 3409m515w1o0022799e000    9       1           33          0     0       1 55325.562 55329.332 55327.445   16.68873     0.1176459               0,5 bright star core and wings,circular halo                                  
          1.2   11.511842 1641.8457 348.59283  181.28178   0.21283914   0.21544123   22.40773        1.0 0.52608013   0.33681184  198.12485 22.870255 2.5309293    0.0029909015   0.0044822367  181.30006     0.01527207   -0.021330066       2.2737 341.75034 -51.015907 3409m515    1 3409m515w1o0022864e000   10       1           33          0     0       1 55325.562 55329.332 55327.445  16.854115    0.13489462               0,5 bright star core and wings,circular halo                                  
          1.3   12.033058  1636.173 342.66623  133.46187   0.28759277    0.2920785  22.343197        1.0  0.9432956   0.24934001  146.65088 22.807972 2.5303166     0.005615413   0.0061351024  133.45361      0.0254596    0.005288903     2.361729 341.75763  -51.02019 3409m515    1 3409m515w1o0039742e000   10       1           33          0     0       1 55325.562 55329.332 55327.445  17.186607     0.1834932               0,5 bright star core and wings,circular halo                                  
          1.4   33.125053 1645.6438  337.0821  221.35312   0.21986179   0.20453012  27.877848        1.0   80.16663  0.022453584  224.85106 28.336906  2.529791     -0.06560475    0.009347949  289.07568      1.5522436     0.75341314    1.7548859 341.76425  -51.01291 3409m515    1 3409m515w1o0041963e000   10       1           32          0     0       1 55325.562 55329.332 55327.445  16.637285     0.1374707                 5                            circular halo                                  
          1.5   36.879173 1647.9408 337.33627  32064.541 0.0018683333  0.001859731   42.82015  1.0000001  48.718117    0.6944761  32075.332 43.461723 2.5289447    0.0006198287    6.38852e-05  32048.723   -0.002477046    0.011255824    1.6594166 341.76392 -51.011158 3409m515    1 3409m515w1o0022954e000   10       1           32          0     0       1 55325.562 55329.332 55327.445  11.234938  0.0014499378                 5                            circular halo                                  
          1.6   36.973045 1647.0643 336.44385  20535.383  0.002785681 0.0029316654  40.784824 0.99999994   70.15518   0.48554966  20533.738  41.39982 2.5300493   -0.0003182888   9.099966e-05   20579.66   0.0061897645     0.01801064    1.6872405   341.765 -51.011818 3409m515    1 3409m515w1o0039768e000    9       1           32          0     0       1 55325.562 55329.332 55327.445  11.718743  0.0021563747                 5                            circular halo                                  
          1.7   37.713432 1628.1218  355.8604  138.53209   0.28001544    0.2859079  22.553785        1.0  1.0511916   0.17254205  141.54857 23.013979  2.526623     0.021929026   0.0069282018  138.48569     0.03411236    -0.07012331     8.554063  341.7417  -51.02645 3409m515    1 3409m515w1o0022672e000   10       1           33          0     0       1 55325.562 55329.332 55327.445  17.146124     0.1783509               0,5 bright star core and wings,circular halo                                  
          1.8   40.111145 1638.6718 331.96875   9436.868 0.0047072773  0.004761545   28.62868        1.0  14.986041    0.9651855   9440.323 29.163038 2.5290995   0.00021404028  0.00012577637   9436.656   -0.008158446  -0.0014790837    2.1487474 341.77057  -51.01819 3409m515    1 3409m515w1o0022812e000   10       1           32          0     0       1 55325.562 55329.332 55327.445   12.56293  0.0032938402                 5                            circular halo                                  
