|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|    fracflux|   fluxlbs| dfluxlbs|     fwhm|   spread_model| dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|         dmag|flags_unwise_bits|                                    flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|       float|     float|    float|    float|          float|         float|     float|         float|         float|        float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|        float|             char|                                                  char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |            |      nMgy|     nMgy|      pix|               |              |          |              |              |         nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|          mag|                 |                                                      |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|        null|      null|     null|     null|           null|          null|      null|          null|          null|         null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|         null|             null|                                                  null|           null|            null|
          1.1   0.8632502 1647.9557 331.13623  214.80884   0.17920369   0.18369073  22.850334        1.0  1.9474187   0.17723788  214.63503 23.337513 2.5259213      0.00390476   0.0039488515   214.8756    0.062211756    -0.06818822     1.5096626 341.77145 -51.011093 3409m515    1 3409m515w1o0041968e000    9       1           32          0     0       1 55325.562 55329.332 55327.445   16.66987    0.11593407                 5                                          circular halo                                  
          1.2   12.897613 1642.9797 330.61484   179.6472    0.2172338   0.21859838  22.933664        1.0  2.2128296   0.19712216   173.9145 23.421045 2.5295074     0.016239405    0.005126806  179.43614    0.025899101    -0.13899069     1.8997821 341.77216  -51.01489 3409m515    1 3409m515w1o0039756e000    9       1           32          0     0       1 55325.562 55329.332 55327.445  16.863949    0.13936493                 5                                          circular halo                                  
          1.3   14.845384 1647.0643 336.44385  20535.383  0.002785681 0.0029316654  40.784824 0.99999994   70.15518   0.48554966  20533.738  41.39982 2.5300493   -0.0003182888   9.099966e-05   20579.66   0.0061897645     0.01801064     1.6872405   341.765 -51.011818 3409m515    1 3409m515w1o0039768e000    9       1           32          0     0       1 55325.562 55329.332 55327.445  11.718743  0.0021563747                 5                                          circular halo                                  
          1.4    17.23146 1647.9408 337.33627  32064.541 0.0018683333  0.001859731   42.82015  1.0000001  48.718117    0.6944761  32075.332 43.461723 2.5289447    0.0006198287    6.38852e-05  32048.723   -0.002477046    0.011255824     1.6594166 341.76392 -51.011158 3409m515    1 3409m515w1o0022954e000   10       1           32          0     0       1 55325.562 55329.332 55327.445  11.234938  0.0014499378                 5                                          circular halo                                  
          1.5   17.408003 1645.6438  337.0821  221.35312   0.21986179   0.20453012  27.877848        1.0   80.16663  0.022453584  224.85106 28.336906  2.529791     -0.06560475    0.009347949  289.07568      1.5522436     0.75341314     1.7548859 341.76425  -51.01291 3409m515    1 3409m515w1o0041963e000   10       1           32          0     0       1 55325.562 55329.332 55327.445  16.637285     0.1374707                 5                                          circular halo                                  
          1.6   24.801844 1638.6718 331.96875   9436.868 0.0047072773  0.004761545   28.62868        1.0  14.986041    0.9651855   9440.323 29.163038 2.5290995   0.00021404028  0.00012577637   9436.656   -0.008158446  -0.0014790837     2.1487474 341.77057  -51.01819 3409m515    1 3409m515w1o0022812e000   10       1           32          0     0       1 55325.562 55329.332 55327.445   12.56293  0.0032938402                 5                                          circular halo                                  
          1.7   25.746511 1648.3906  321.7424  209.08052    0.1909041    0.1937337  23.396818 0.99999994  0.5459635    0.5135318   212.2301 23.857803  2.532709     0.007736087    0.004130814  209.08276    0.005818457  -0.0059120855    0.91060376 341.78284 -51.010677 3409m515    1 3409m515w1o0022953e000    9       1           36          0     0       1 55325.562 55329.332 55327.445  16.699217   0.122008555               2,5                            optical ghost,circular halo                                  
          1.8   26.464956 1654.6947 337.63113  10565.138  0.004261579  0.004353509   29.34676        1.0   11.50367    0.9531347  10569.042 29.885473 2.5329428  -0.00027745962  0.00011451157  10564.445   -0.009047479    -0.01025739     1.3855698  341.7635    -51.006 3409m515    1 3409m515w1o0023049e000   10       1           32          0     0       1 55325.562 55329.332 55327.445  12.440312  0.0030158467                 5                                          circular halo                                  
