|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                                                                              flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|      float|     float|     float|    float|         float|        float|     float|         float|         float|       float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                                                                            char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|              |             |          |              |              |        nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                                                                                |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|       null|      null|      null|     null|          null|         null|      null|          null|          null|        null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                                                                            null|           null|            null|
          1.1   25.214373  153.0984 726.18744   533.2304   0.0688393 0.068625264  21.537817  0.9999999  2.2572055   0.4436693  511.85333  21.950813 2.4890432    0.005230248  0.0015084511    533.219   4.119366e-06    0.000522179    7.6871347  5.134317 -23.381332 0048m228    1 0048m228w1o0001970e000   12       1           32          0     0       1  55361.94 55365.184 55363.562  15.682713 0.043878082                 5                                                                                    circular halo                                  
          1.2    32.24753 148.34659  710.7706  295.45834  0.11561532 0.113681205  19.744583 0.99999994   2.061056   0.5294057   288.6867   20.14918 2.4936345  -0.0069249272   0.002452469   295.4308     0.02699979   -0.048251584    2.8968651 5.1471534 -23.384941 0048m228    1 0048m228w1o0001896e000   14       1           32          0     0       1  55361.94 55365.184 55363.562   16.32376 0.072664805                 5                                                                                    circular halo                                  
          1.3   34.875423 169.58327  721.9163   723.1699 0.049238913 0.048798732  20.888292  1.0000001  1.9594399   0.6020213   711.4546  21.305805 2.4921646  -0.0029803514   0.001058391   723.0526   -0.015719188   -0.009263363    6.8895416  5.137848 -23.368736 0048m228    1 0048m228w1o0002184e000   13       1           32          0     0       1  55361.94 55365.184 55363.562  15.351899  0.03136953                 5                                                                                    circular halo                                  
          1.4   43.863827 145.23001   728.352  292.33118  0.12289425  0.12226856  20.753073        1.0  1.3317509  0.28057957  283.28552  21.181446 2.4940624   0.0045897365   0.002565361  292.28433   0.0075545968  -0.0023086506     7.047975  5.132527 -23.387344 0048m228    1 0048m228w1o0001853e000   13       1           32          0     0       1  55361.94 55365.184 55363.562  16.335312 0.077208124                 5                                                                                    circular halo                                  
          1.5   43.956303 171.41655  725.9583  136.67697   0.2722337   0.2712641  21.868366 0.99999994  0.8050074   0.1705577  130.49199  22.282122 2.4918523    0.004989028  0.0059555313   136.4546   -0.082044646     0.07696136     7.702832 5.1344824 -23.367342 0048m228    1 0048m228w1o0002208e000   12       1           32          0     0       1  55361.94 55365.184 55363.562   17.16076  0.17522377                 5                                                                                    circular halo                                  
          1.6   46.184204  141.9342  724.4968  129.54474  0.27481073  0.27070636  20.527983        1.0  2.3365808   0.1832973  142.27065  20.950111 2.4932508    0.019926071  0.0065401453  129.49312   0.0011285407    0.028759247     4.153658 5.1357393 -23.389858 0048m228    1 0048m228w1o0032432e000   13       1           32          0     0       1  55361.94 55365.184 55363.562   17.21895  0.17351064                 5                                                                                    circular halo                                  
          1.7   49.676758 155.32779  700.1935  106.89009  0.31392428  0.31033197  19.454552        1.0 0.31385964  0.40543595  108.73788  19.858013 2.4926713    -0.00250113   0.006622169  106.86162     0.06876864      0.0832769    1.4179822  5.155945 -23.379595 0048m228    1 0048m228w1o0032461e000   14       1            0          0     0       1  55361.94 55365.184 55363.562  17.427656  0.19983605                                                                                                                                                     
          1.8   52.866188   173.776  728.3304  177.18352  0.20571849  0.20418774  21.413897 0.99999994  0.4134597  0.21650788  178.23769  21.832752 2.4935837   0.0062458515   0.004470133  176.85329    0.022161305   -0.058429517    7.0819807 5.1325054 -23.365541 0048m228    1 0048m228w1o0036394e000   12       1           32          0     0       1  55361.94 55365.184 55363.562  16.878942  0.13186352                 5                                                                                    circular halo                                  
