|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|        sky|       ra|        dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|          float|        float|     float|         float|         float|      float|    float|      float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|               |             |          |              |              |       nMgy|      deg|        deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|           null|         null|      null|          null|          null|       null|     null|       null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                    null|           null|            null|
          1.1  0.46458322 1202.4391  1557.165  228.95909   0.16365705    0.1555658  21.523197        1.0 0.74965096 0.78222483  230.45215  21.953215 2.4886417    -0.008033216  0.0035511204  228.81972       0.139951  -0.0038350944    8.964686 140.26515  0.13668588 1406p000    1 1406p000w1o0018584e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  16.600605   0.10236637                 5                            circular halo                                  
          1.2   13.902227 1204.9658 1552.6984  254.14629    0.1473747   0.14040062   21.86083        1.0  0.7594172  0.9439259   258.9502   22.29601 2.4876332    0.0044472218   0.003241526  254.11954    0.004295896  -0.0068773646    9.266069 140.26855  0.13861598 1406p000    1 1406p000w1o0018615e000   11       1           32          0     0       0 55323.203 55326.312 55324.758  16.487291    0.0936228                 5                            circular halo                                  
          1.3    34.89809 1197.4016 1568.7441   95.51528   0.38834092   0.37493244  21.407333        1.0  0.5480664  0.5932044  99.401505   21.82552 2.4902017    0.0011688471   0.008202839   95.43589    -0.09997366     -0.2055854    8.423344  140.2563  0.13283773 1406p000    1 1406p000w1o0045744e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  17.549818   0.24754216                 5                            circular halo                                  
          1.4   35.368317 1214.7551 1552.9436  115.40014   0.31995875    0.3071295  21.319351        1.0  0.5091067  0.8852206  111.59912  21.744877 2.4853451     0.016551375   0.007525984 115.398605  -0.0071639535  -0.0026423754    9.692759 140.26837  0.14609371 1406p000    1 1406p000w1o0035179e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  17.344484   0.20291182                 5                            circular halo                                  
          1.5   39.100285 1213.2136 1566.6415  123.56933    0.3021242    0.2885869  21.484907        1.0  0.7026652 0.35016847  136.05998  21.915117 2.4901216   -0.0047662854  0.0064152787  123.61182      0.1063696     0.22628164    8.448829  140.2579  0.14491601 1406p000    1 1406p000w1o0042041e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  17.270224   0.19071367                 5                            circular halo                                  
          1.6   39.183018 1204.3431 1543.0275  253.49529   0.14881167    0.1399885  21.516474        1.0  0.9191587  0.9369551   240.4886  21.946667 2.4863505    0.0029481053  0.0031671356  253.48628    0.009398904   0.0070025083    9.740992 140.27594  0.13814045 1406p000    1 1406p000w1o0018594e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  16.490076  0.092378676                 5                            circular halo                                  
          1.7   40.437126 1187.9666  1558.535  150.84245   0.23709974   0.22849107  20.786139 0.99999994  0.8998545 0.84129167  140.28047  21.212269 2.4898741     0.010382354   0.005258898  150.83298   0.0071845143   -0.008782173    8.992381  140.2641  0.12563078 1406p000    1 1406p000w1o0035098e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  17.053692    0.1505727                 5                            circular halo                                  
          1.8    41.28579 1187.7915 1554.7461  128.93712    0.2810698    0.2796528  21.117876  0.9999999 0.49961376  0.8423556 118.322266  21.535902 2.4880307      0.01525104   0.006445632  128.92738   -0.003885291  -0.0068816473    8.671453   140.267  0.12549709 1406p000    1 1406p000w1o0035097e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  17.224054    0.1794427                 5                            circular halo                                  
