|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|           xiso|          yiso|        sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|          float|         float|      float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |               |              |       nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|           null|          null|       null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|              null|           null|            null|
          1.1   0.3302441 472.54706 1496.6003  1085.0115 0.032521974 0.032506205  20.950945 0.99999994 0.50888795  0.9774884  1071.3807  21.364082 2.5013988  0.00048685074   0.000705456  1085.0084    -0.015814366   -0.010825412   6.4811587 2.9051316 -24.651447 0033m243    1 0033m243w1o0006094e000   13       1           32          0     0       1 55359.957   55363.2  55361.58  14.911414 0.020967528                 5      circular halo                                  
          1.2   10.724821 468.57355 1496.3489  340.82443 0.103492305  0.10287992  20.496128 0.99999994 0.73078054  0.8686724  325.39688   20.89883 2.5004656   0.0033258796  0.0021739192  340.85916     -0.00572814    0.016803138    6.352869 2.9053335 -24.654484 0033m243    1 0033m243w1o0028717e000   13       1           32          0     0       1 55359.957   55363.2  55361.58  16.168673 0.065371685                 5      circular halo                                  
          1.3   20.677252  475.5277 1489.6377  303.19308 0.114752874 0.115074314   20.54194        1.0 0.46573985 0.88764083  290.51016   20.95522 2.5009477  -0.0004774332  0.0024497898  303.14868     -0.01673419   -0.009458472    6.231097 2.9109902 -24.649185 0033m243    1 0033m243w1o0006126e000   12       1           32          0     0       1 55359.957   55363.2  55361.58  16.295702  0.07367364                 5      circular halo                                  
          1.4   21.521425 479.94232  1494.178  411.24283  0.08477974  0.08422629  20.414192        1.0  0.5969986 0.92533624  408.19797  20.821661  2.491959   0.0008467436  0.0018511058  411.23285   -0.0029609709   0.0035086672   6.4946094  2.907185 -24.645803 0033m243    1 0033m243w1o0006175e000   13       1           32          0     0       1 55359.957   55363.2  55361.58  15.964754  0.05394052                 5      circular halo                                  
          1.5   23.345247  466.1312 1490.8611  204.53897  0.16875921  0.17129019  20.387445        1.0 0.73620296  0.8631681  190.87265   20.79494  2.492003   0.0012385249  0.0037350417  204.54208    0.0046835495  -0.0011525889    5.987668 2.9099398  -24.65636 0033m243    1 0033m243w1o0006006e000   13       1           32          0     0       1 55359.957   55363.2  55361.58   16.72306  0.10858146                 5      circular halo                                  
          1.6   26.078205 474.77014 1505.7084   90.26042  0.38113406    0.381092   20.07242        1.0  0.5380149  0.9148747  79.938484   20.46947 2.4964366   0.0110474825   0.008464577   90.25982      0.03444772     0.04712412   6.1070504 2.8974824 -24.649729 0033m243    1 0033m243w1o0033646e000   13       1           32          0     0       1 55359.957   55363.2  55361.58  17.611258  0.24555239                 5      circular halo                                  
          1.7   26.228067  471.8072 1486.9929  421.56384  0.08289422  0.08202477  20.375055        1.0  1.2736412   0.942312   410.3716  20.779613 2.4917955    0.007505715  0.0018383575  421.54935   -0.0058217016   0.0005024188   6.0008655 2.9132042 -24.652033 0033m243    1 0033m243w1o0006082e000   13       1           32          0     0       1 55359.957   55363.2  55361.58  15.937841 0.052516818                 5      circular halo                                  
          1.8   27.570475 462.77905 1499.0781  103.67793  0.33528706   0.3343916  20.500628        1.0   1.029609 0.85006917  91.796906  20.903473 2.4926405    0.010653138   0.007663791  103.67162     -0.00418842   0.0023764605   5.8123703 2.9030256 -24.658903 0033m243    1 0033m243w1o0028705e000   12       1           32          0     0       1 55359.957   55363.2  55361.58  17.460785   0.2175522                 5      circular halo                                  
