|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                                                                              flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|       float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                                                                            char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |        nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                                                                                |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|        null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                                                                            null|           null|            null|
          1.1   0.2441952 488.99707 1432.2458  1213.0117 0.029804401   0.0298297  21.796759 0.99999994  1.4218487 0.86778814  1215.1327  22.223568 2.4931004 -0.00014567375 0.00069046125  1212.9266   -0.002902132   0.0077337697    3.1168504 2.9592514 -24.639015 0033m243    1 0033m243w1o0006287e000   12       1           32          0     0       1 55359.957   55363.2  55361.58  14.790338 0.019511824                 5                                                                                    circular halo                                  
          1.2    8.570074 487.34384  1434.808  423.24298 0.082680754  0.08245212  20.464857        1.0  1.0073595  0.6402416   425.7991  20.879642 2.4964025   0.0021421313  0.0017677308  423.24313   0.0026477198  -0.0051601254    3.5536747  2.957095 -24.640272 0033m243    1 0033m243w1o0033671e000   13       1           32          0     0       1 55359.957   55363.2  55361.58  15.933526    0.052539                 5                                                                                    circular halo                                  
          1.3   26.820053 490.85983 1441.7291  128.52121  0.27116323  0.27628154  20.611237  1.0000001 0.47425678  0.4644887    132.804  21.019632 2.4945943  0.00032776594  0.0059628724   128.5299   -0.006351183   -0.009460939     4.431869  2.951286 -24.637573 0033m243    1 0033m243w1o0028777e000   13       1           32          0     0       1 55359.957   55363.2  55361.58  17.227564   0.1756382                 5                                                                                    circular halo                                  
          1.4   27.777172 480.60687 1437.8029 105.427124  0.34510314  0.34027988    21.1814        1.0 0.40348768 0.45538417  114.54564  21.592436 2.4971626  -0.0040904284  0.0074089174  105.40387    0.042725645 -0.00015138091    4.2839766 2.9545639 -24.645412 0033m243    1 0033m243w1o0033660e000   12       1           32          0     0       1 55359.957   55363.2  55361.58   17.44262  0.22114381                 5                                                                                    circular halo                                  
          1.5    33.23993 480.68878 1440.9507  139.05963  0.26004344   0.2563845  20.995682  0.9999999  0.9212935  0.5405666   145.6597  21.404222  2.493997   -0.011680305   0.005860463  138.97507    -0.13633715   -0.104681626     4.673549 2.9519186 -24.645344 0033m243    1 0033m243w1o0028749e000   12       1           32          0     0       1 55359.957   55363.2  55361.58  17.141996  0.16519098                 5                                                                                    circular halo                                  
          1.6   38.881996 474.89868 1430.9194  107.30449   0.3215921  0.32427678   20.50821        1.0  0.6925459 0.42578784  105.63601  20.930643  2.490931   -0.011032283  0.0074277064  107.29445    0.060620863    0.017734801    3.8400922  2.960337 -24.649786 0033m243    1 0033m243w1o0033645e000   12       1           32          0     0       1 55359.957   55363.2  55361.58  17.423456  0.21009111                 5                                                                                    circular halo                                  
          1.7      39.314 480.48193 1420.6643   326.2937  0.11140296  0.11006352  21.234104  1.0000001  4.7258854 0.17750266  327.63315   21.65253 2.5005226   0.0059486628  0.0023812463   327.8158     0.33240965     0.51736814    2.2057471  2.968967  -24.64554 0033m243    1 0033m243w1o0006191e000   13       1          163          0     0       1 55359.957   55363.2  55361.58  16.215979  0.07075607           0,1,5,7 bright star core and wings,PSF-based diffraction spike,circular halo,geometric diffraction spike                                  
          1.8    39.63994  475.1471  1436.201  307.75522  0.11459944  0.11481388  20.620602  0.9999999  0.7218439 0.76390845  316.36368  21.031336 2.4933074    0.006083846  0.0025124892   307.7822   0.0037682967    0.004030537     4.333894 2.9558985 -24.649586 0033m243    1 0033m243w1o0006115e000   13       1           32          0     0       1 55359.957   55363.2  55361.58  16.279486  0.07285704                 5                                                                                    circular halo                                  
