|source_label|target_dist|         x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model| dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|     float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|         float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|              char|           char|            char|
|            |     arcsec|       pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |              |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                  |               |                |
|        null|       null|      null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|          null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|              null|           null|            null|
          1.1  0.44285682  129.47029 369.22098  475.65283    0.0628095  0.060361333   17.39418  1.0000001  0.9807269  0.8160213   473.7131  17.736122 2.4921818  -0.0026776195   0.0013746999  475.75223    0.016520282    0.012366545    0.42807186 245.87907  31.11911 2452p318    1 2452p318w1o0002240e000   17       1            0          0     0       1 55239.008  55243.31  55241.16  15.806775  0.039722037                                                                       
          1.2    13.03592  128.96014  374.0766  2516.9036 0.0122856675  0.011879787  19.005205        1.0   1.074712 0.96287143  2520.8586  19.366108 2.4859684 -0.00083857775  0.00029949434  2516.8213  -0.0030314538   0.0030232992    0.43232185 245.87474  31.11874 2452p318    1 2452p318w1o0002241e000   17       1            0          0     0       1 55239.008  55243.31  55241.16  13.997833  0.008198544                                                                       
          1.3   14.665916 126.147446 365.11093  165.60959   0.17262712   0.16736178  16.589964        1.0  1.0735214 0.64420354  169.08815  16.929796  2.487075   0.0085347295    0.003856759  165.60771  -0.0066734673    0.008701411    0.64359385 245.88274 31.116556 2452p318    1 2452p318w1o0002176e000   18       1            0          0     0       1 55239.008  55243.31  55241.16  16.952286   0.10912982                                                                       
          1.4   18.414047   122.9105 371.08588   7976.516 0.0043013543   0.00412318   22.81164        1.0  4.7670174 0.99387586   7981.655  23.212812 2.4862843 -0.00040775537  0.00012511949   7976.352   -0.004106146   0.0034372348    0.72304606 245.87738 31.114107 2452p318    1 2452p318w1o0002126e000   18       1           32          0     0       1 55239.008  55243.31  55241.16  12.745467 0.0031050353                 5      circular halo                                  
          1.5   27.203943  119.48949 369.07755    305.866  0.095341384   0.09116903  16.908377  1.0000001  1.6554499 0.44645163  309.27808  17.239769 2.4899516  -0.0017433763   0.0020691862  305.84186    0.037085555    0.027184112    0.92960507 245.87917 31.111486 2452p318    1 2452p318w1o0042142e000   17       1           32          0     0       1 55239.008  55243.31  55241.16  16.286173  0.060081154                 5      circular halo                                  
          1.6   30.853144 123.559364  378.9471  145.46233   0.20109238   0.19541001  17.067846 0.99999994 0.84428674  0.6932252  151.86183  17.409721 2.4896085    0.002673924    0.004411082  145.50078  -0.0133455945   -0.011088552     0.6554812 245.87038 31.114635 2452p318    1 2452p318w1o0002141e000   17       1           32          0     0       1 55239.008  55243.31  55241.16  17.093124   0.12798451                 5      circular halo                                  
          1.7   31.440577  126.24573 380.35065  109.21802   0.26669854    0.2578073  16.838972  1.0000001  0.4270917 0.66027844  112.01206  17.181402 2.4926696 -0.00085788965   0.0056519415  109.22124    0.010600492    0.018478362      0.566856 245.86914 31.116692 2452p318    1 2452p318w1o0042181e000   17       1           32          0     0       1 55239.008  55243.31  55241.16  17.404264   0.16874185                 5      circular halo                                  
          1.8   32.732018 117.875534 372.41467  134.19829   0.21880828    0.2091881   17.17617        1.0 0.52938396  0.4723033  135.89497  17.512835 2.4922376   0.0024924278   0.0048441603  134.25597   -0.011122724    0.018227614     0.9612827 245.87617 31.110268 2452p318    1 2452p318w1o0042137e000   17       1           32          0     0       1 55239.008  55243.31  55241.16  17.180632   0.13973078                 5      circular halo                                  
          1.9    35.41229  116.54353 368.29785   90.64037   0.32194492   0.31083685  16.975817        1.0  0.7580832 0.43693173  93.257095  17.309988 2.4937148   0.0018024445    0.006913645   90.59474     0.29337186       0.377444     1.0367075 245.87984 31.109234 2452p318    1 2452p318w1o0049853e000   16       1           32          0     0       1 55239.008  55243.31  55241.16  17.606695   0.20577377                 5      circular halo                                  
         1.10    36.59155  142.31628 366.23154  165.62651     0.176084   0.16994381  16.851942 0.99999994 0.71779406  0.9362545  153.70058  17.192444  2.491195  0.00029838085   0.0037500518  165.63078    0.011702554  -0.0017153706      0.573642  245.8818  31.12891 2452p318    1 2452p318w1o0002453e000   17       1            0          0     0       1 55239.008  55243.31  55241.16  16.952175   0.11085363                                                                       
