oid,time,magnitude,error,band
QSO_119.50396829473661+0.010621205971761395,55301.56421449996,17.951,0.117,W1
QSO_119.50396829473661+0.010621205971761395,55301.69641750002,17.881,0.119,W1
QSO_119.50396829473661+0.010621205971761395,55301.82865700002,17.991999999999997,0.128,W1
QSO_119.50396829473661+0.010621205971761395,55301.96085999999,17.783,0.098,W1
QSO_119.50396829473661+0.010621205971761395,55302.02703450003,18.348,0.167,W1
QSO_119.50396829473661+0.010621205971761395,55302.093062999964,18.156,0.146,W1
QSO_119.50396829473661+0.010621205971761395,55302.093209,17.798000000000002,0.129,W1
QSO_119.50396829473661+0.010621205971761395,55302.15923750001,17.978,0.121,W1
QSO_119.50396829473661+0.010621205971761395,55302.22541199997,17.904,0.118,W1
QSO_119.50396829473661+0.010621205971761395,55302.29144049998,17.686999999999998,0.114,W1
QSO_119.50396829473661+0.010621205971761395,55302.423679999985,18.201999999999998,0.141,W1
QSO_119.50396829473661+0.010621205971761395,55302.55588300004,17.853,0.103,W1
QSO_119.50396829473661+0.010621205971761395,55492.83246349999,18.03,0.127,W1
QSO_119.50396829473661+0.010621205971761395,55492.96470299999,17.759,0.104,W1
QSO_119.50396829473661+0.010621205971761395,55493.09690599996,18.025,0.129,W1
QSO_119.50396829473661+0.010621205971761395,55493.162934499975,18.015,0.122,W1
QSO_119.50396829473661+0.010621205971761395,55493.22899950002,18.235,0.141,W1
QSO_119.50396829473661+0.010621205971761395,55493.22910900002,17.96,0.116,W1
QSO_119.50396829473661+0.010621205971761395,55493.29517399998,17.847,0.121,W1
QSO_119.50396829473661+0.010621205971761395,55493.36120249999,18.372,0.186,W1
QSO_119.50396829473661+0.010621205971761395,55493.427377000036,17.84,0.106,W1
QSO_119.50396829473661+0.010621205971761395,55493.49340549996,17.994,0.113,W1
QSO_119.50396829473661+0.010621205971761395,55493.559470500004,18.052999999999997,0.122,W1
QSO_119.50396829473661+0.010621205971761395,55493.691673499976,18.234,0.143,W1
QSO_119.50396829473661+0.010621205971761395,56957.551630999995,17.796,0.102,W1
QSO_119.50396829473661+0.010621205971761395,56957.683067500024,18.038,0.177,W1
QSO_119.50396829473661+0.010621205971761395,56957.81439449997,17.935000000000002,0.143,W1
QSO_119.50396829473661+0.010621205971761395,56957.88016750003,18.009,0.129,W1
QSO_119.50396829473661+0.010621205971761395,56957.945831,17.894,0.118,W1
QSO_119.50396829473661+0.010621205971761395,56958.011494499966,18.024,0.143,W1
QSO_119.50396829473661+0.010621205971761395,56958.07730399997,18.033,0.135,W1
QSO_119.50396829473661+0.010621205971761395,56958.142967500025,17.777,0.117,W1
QSO_119.50396829473661+0.010621205971761395,56958.274403999974,17.83,0.109,W1
QSO_119.50396829473661+0.010621205971761395,56958.4058405,17.668,0.092,W1
QSO_119.50396829473661+0.010621205971761395,56958.53716750003,18.346,0.216,W1
QSO_119.50396829473661+0.010621205971761395,57124.99761073435,17.775,0.112,W1
QSO_119.50396829473661+0.010621205971761395,57125.12882823845,17.842,0.134,W1
QSO_119.50396829473661+0.010621205971761395,57125.26000924268,17.988,0.123,W1
