oid,time,magnitude,error,band
QSO_134.59072996598013-0.07258497964558969,55318.35687900001,18.262999999999998,0.171,W1
QSO_134.59072996598013-0.07258497964558969,55318.489118500016,17.842,0.106,W1
QSO_134.59072996598013-0.07258497964558969,55318.62132149999,17.98,0.126,W1
QSO_134.59072996598013-0.07258497964558969,55318.75352449997,18.226,0.176,W1
QSO_134.59072996598013-0.07258497964558969,55318.8195895,18.033,0.136,W1
QSO_134.59072996598013-0.07258497964558969,55318.88572750002,17.973,0.144,W1
QSO_134.59072996598013-0.07258497964558969,55318.95179249998,18.103,0.145,W1
QSO_134.59072996598013-0.07258497964558969,55319.01796700002,18.311999999999998,0.172,W1
QSO_134.59072996598013-0.07258497964558969,55319.083995500034,17.898,0.132,W1
QSO_134.59072996598013-0.07258497964558969,55319.08414149998,18.005,0.122,W1
QSO_134.59072996598013-0.07258497964558969,55319.216198500006,17.871000000000002,0.108,W1
QSO_134.59072996598013-0.07258497964558969,55319.21634450004,17.901,0.119,W1
QSO_134.59072996598013-0.07258497964558969,55319.34843800001,17.828,0.115,W1
QSO_134.59072996598013-0.07258497964558969,55319.34854750001,17.73,0.097,W1
QSO_134.59072996598013-0.07258497964558969,55319.480787000015,17.814,0.136,W1
QSO_134.59072996598013-0.07258497964558969,55509.35393300003,17.825,0.109,W1
QSO_134.59072996598013-0.07258497964558969,55509.48617250003,18.076999999999998,0.148,W1
QSO_134.59072996598013-0.07258497964558969,55509.6183755,17.756999999999998,0.106,W1
QSO_134.59072996598013-0.07258497964558969,55509.684404000014,17.819,0.109,W1
QSO_134.59072996598013-0.07258497964558969,55509.75046899997,18.224,0.175,W1
QSO_134.59072996598013-0.07258497964558969,55509.81664350002,18.445,0.187,W1
QSO_134.59072996598013-0.07258497964558969,55509.88267200003,17.906,0.118,W1
QSO_134.59072996598013-0.07258497964558969,55509.948736999984,17.999000000000002,0.125,W1
QSO_134.59072996598013-0.07258497964558969,55510.080940000036,17.738999999999997,0.102,W1
QSO_134.59072996598013-0.07258497964558969,55510.213143000015,18.05,0.166,W1
QSO_134.59072996598013-0.07258497964558969,55510.34534599999,18.185000000000002,0.157,W1
QSO_134.59072996598013-0.07258497964558969,56780.478889000005,17.955,0.128,W1
QSO_134.59072996598013-0.07258497964558969,56780.61047149998,17.673000000000002,0.145,W1
