oid,time,magnitude,error,band
QSO_203.97701522505992-3.5550161728588465,55211.74494150002,17.999000000000002,0.128,W1
QSO_203.97701522505992-3.5550161728588465,55211.87729050003,18.419,0.176,W1
QSO_203.97701522505992-3.5550161728588465,55212.0094935,17.846,0.11,W1
QSO_203.97701522505992-3.5550161728588465,55212.07555849996,18.795,0.276,W1
QSO_203.97701522505992-3.5550161728588465,55212.141733000004,18.247,0.155,W1
QSO_203.97701522505992-3.5550161728588465,55212.207907499964,18.459,0.187,W1
QSO_203.97701522505992-3.5550161728588465,55212.273935999976,18.006,0.142,W1
QSO_203.97701522505992-3.5550161728588465,55212.34011050002,18.332,0.165,W1
QSO_203.97701522505992-3.5550161728588465,55212.472313499995,18.302,0.16,W1
QSO_203.97701522505992-3.5550161728588465,55212.6046625,18.099,0.144,W1
QSO_203.97701522505992-3.5550161728588465,55386.84515050004,18.217,0.15,W1
QSO_203.97701522505992-3.5550161728588465,55386.97735350001,18.180999999999997,0.133,W1
QSO_203.97701522505992-3.5550161728588465,55387.109593000016,18.305,0.177,W1
QSO_203.97701522505992-3.5550161728588465,55387.24179599999,18.137,0.138,W1
QSO_203.97701522505992-3.5550161728588465,55387.3078245,18.174,0.147,W1
QSO_203.97701522505992-3.5550161728588465,55387.37399899997,18.361,0.175,W1
QSO_203.97701522505992-3.5550161728588465,55387.440064,18.311999999999998,0.208,W1
QSO_203.97701522505992-3.5550161728588465,55387.50620200002,18.176000000000002,0.153,W1
QSO_203.97701522505992-3.5550161728588465,55387.572266999974,17.996000000000002,0.162,W1
QSO_203.97701522505992-3.5550161728588465,55387.70447000003,18.512,0.197,W1
QSO_203.97701522505992-3.5550161728588465,55387.836673000005,18.639,0.233,W1
QSO_203.97701522505992-3.5550161728588465,55387.96891250001,18.465,0.194,W1
QSO_203.97701522505992-3.5550161728588465,55574.37974150002,18.494999999999997,0.217,W1
QSO_203.97701522505992-3.5550161728588465,55574.64403799996,18.578,0.261,W1
QSO_203.97701522505992-3.5550161728588465,55574.71021250001,18.442,0.193,W1
QSO_203.97701522505992-3.5550161728588465,55574.77624100002,18.317,0.179,W1
QSO_203.97701522505992-3.5550161728588465,55574.84226950003,18.27,0.163,W1
QSO_203.97701522505992-3.5550161728588465,55574.90844399999,18.153,0.145,W1
QSO_203.97701522505992-3.5550161728588465,55574.974509000036,18.281,0.168,W1
QSO_203.97701522505992-3.5550161728588465,55575.10671200001,18.63,0.328,W1
QSO_203.97701522505992-3.5550161728588465,55575.238805499976,17.974,0.13,W1
QSO_203.97701522505992-3.5550161728588465,56672.26452850002,18.201,0.151,W1
QSO_203.97701522505992-3.5550161728588465,56672.3962205,18.563000000000002,0.21,W1
QSO_203.97701522505992-3.5550161728588465,56672.52794900001,18.256999999999998,0.168,W1
QSO_203.97701522505992-3.5550161728588465,56672.59372199998,18.881,0.293,W1
QSO_203.97701522505992-3.5550161728588465,56672.65953149999,18.473,0.235,W1
QSO_203.97701522505992-3.5550161728588465,56672.72541399997,18.424,0.191,W1
QSO_203.97701522505992-3.5550161728588465,56672.791223499975,18.281,0.154,W1
QSO_203.97701522505992-3.5550161728588465,56672.85714249998,18.4,0.176,W1
QSO_203.97701522505992-3.5550161728588465,56672.98872499996,18.383,0.183,W1
QSO_203.97701522505992-3.5550161728588465,56673.12041700003,18.439,0.212,W1
QSO_203.97701522505992-3.5550161728588465,56851.627316999984,18.576,0.202,W1
QSO_203.97701522505992-3.5550161728588465,56851.75875350001,18.05,0.207,W1
QSO_203.97701522505992-3.5550161728588465,56852.02180899997,18.143,0.158,W1
QSO_203.97701522505992-3.5550161728588465,56852.08743599999,18.108,0.156,W1
QSO_203.97701522505992-3.5550161728588465,56852.21890899997,17.962,0.217,W1
QSO_203.97701522505992-3.5550161728588465,56852.28468200003,18.320999999999998,0.17,W1
QSO_203.97701522505992-3.5550161728588465,56852.35049150003,18.288,0.238,W1
QSO_203.97701522505992-3.5550161728588465,56852.48192799997,18.5,0.196,W1
QSO_203.97701522505992-3.5550161728588465,57038.46647399045,18.225,0.157,W1
QSO_203.97701522505992-3.5550161728588465,57038.59769149463,18.408,0.174,W1
QSO_203.97701522505992-3.5550161728588465,57038.729018498736,18.552999999999997,0.269,W1
QSO_203.97701522505992-3.5550161728588465,57038.79468200087,18.031,0.158,W1
QSO_203.97701522505992-3.5550161728588465,57038.8603090029,18.518,0.298,W1
QSO_203.97701522505992-3.5550161728588465,57038.925972505036,18.338,0.187,W1
QSO_203.97701522505992-3.5550161728588465,57038.991636007086,18.34,0.19,W1
QSO_203.97701522505992-3.5550161728588465,57039.05729950914,18.329,0.198,W1
QSO_203.97701522505992-3.5550161728588465,57039.18862651333,18.401,0.302,W1
QSO_203.97701522505992-3.5550161728588465,57039.31995351752,18.358,0.164,W1
QSO_203.97701522505992-3.5550161728588465,57210.25444786373,18.578,0.264,W1
QSO_203.97701522505992-3.5550161728588465,57210.38566536791,18.481,0.182,W1
QSO_203.97701522505992-3.5550161728588465,57210.64791787621,17.971,0.134,W1
QSO_203.97701522505992-3.5550161728588465,57210.77898938035,18.231,0.167,W1
QSO_203.97701522505992-3.5550161728588465,57210.97572438663,18.214,0.233,W1
QSO_203.97701522505992-3.5550161728588465,57211.23797689493,17.451,0.185,W1
QSO_203.97701522505992-3.5550161728588465,57400.8513950064,18.195999999999998,0.15,W1
QSO_203.97701522505992-3.5550161728588465,57400.98267921059,17.717,0.21,W1
QSO_203.97701522505992-3.5550161728588465,57401.114109814735,18.391,0.18,W1
QSO_203.97701522505992-3.5550161728588465,57401.24554041888,18.057000000000002,0.131,W1
QSO_203.97701522505992-3.5550161728588465,57401.37686122301,18.027,0.198,W1
QSO_203.97701522505992-3.5550161728588465,57401.376971023026,18.331,0.223,W1
QSO_203.97701522505992-3.5550161728588465,57401.44255822511,18.133,0.141,W1
QSO_203.97701522505992-3.5550161728588465,57401.50829182716,17.967,0.127,W1
QSO_203.97701522505992-3.5550161728588465,57401.57398882926,18.293,0.195,W1
