oid,time,magnitude,error,band
QSO_343.9955527928164+2.9011403085120064,55354.81570700002,17.954,0.124,W1
QSO_343.9955527928164+2.9011403085120064,55354.947909999995,17.981,0.124,W1
QSO_343.9955527928164+2.9011403085120064,55355.0801495,17.986,0.122,W1
QSO_343.9955527928164+2.9011403085120064,55355.14617800001,18.275,0.159,W1
QSO_343.9955527928164+2.9011403085120064,55355.21235249997,18.021,0.131,W1
QSO_343.9955527928164+2.9011403085120064,55355.27838099998,17.948999999999998,0.115,W1
QSO_343.9955527928164+2.9011403085120064,55355.34455550002,17.942999999999998,0.123,W1
QSO_343.9955527928164+2.9011403085120064,55355.410620499984,17.856,0.125,W1
QSO_343.9955527928164+2.9011403085120064,55355.542823500036,18.044,0.123,W1
QSO_343.9955527928164+2.9011403085120064,55355.675026500016,18.136,0.145,W1
QSO_343.9955527928164+2.9011403085120064,55355.80722949999,18.119,0.132,W1
QSO_343.9955527928164+2.9011403085120064,55532.64863450004,18.067,0.129,W1
QSO_343.9955527928164+2.9011403085120064,55532.78083750001,18.104,0.139,W1
QSO_343.9955527928164+2.9011403085120064,55532.91307700001,18.294,0.163,W1
QSO_343.9955527928164+2.9011403085120064,55533.045134000036,17.991,0.127,W1
QSO_343.9955527928164+2.9011403085120064,55533.04527999999,18.183999999999997,0.155,W1
QSO_343.9955527928164+2.9011403085120064,55533.1113085,17.966,0.123,W1
QSO_343.9955527928164+2.9011403085120064,55533.17737350004,18.043,0.135,W1
QSO_343.9955527928164+2.9011403085120064,55533.24340199997,17.927,0.148,W1
QSO_343.9955527928164+2.9011403085120064,55533.243548,18.488,0.197,W1
QSO_343.9955527928164+2.9011403085120064,55533.30957650001,18.505,0.199,W1
QSO_343.9955527928164+2.9011403085120064,55533.640047500005,18.262,0.157,W1
QSO_343.9955527928164+2.9011403085120064,56817.008965000015,17.905,0.155,W1
QSO_343.9955527928164+2.9011403085120064,56817.14054749999,18.082,0.181,W1
QSO_343.9955527928164+2.9011403085120064,56817.46922999997,18.112000000000002,0.155,W1
QSO_343.9955527928164+2.9011403085120064,56817.535003000026,18.055999999999997,0.19,W1
QSO_343.9955527928164+2.9011403085120064,56817.60081250003,18.14,0.178,W1
QSO_343.9955527928164+2.9011403085120064,56817.666476000006,18.084,0.19,W1
QSO_343.9955527928164+2.9011403085120064,56817.73224899998,18.103,0.163,W1
QSO_343.9955527928164+2.9011403085120064,56817.995267999984,17.813000000000002,0.13,W1
QSO_343.9955527928164+2.9011403085120064,56997.39364399997,17.927999999999997,0.184,W1
QSO_343.9955527928164+2.9011403085120064,56997.525080499996,17.737000000000002,0.116,W1
QSO_343.9955527928164+2.9011403085120064,56997.65640750002,17.744999999999997,0.137,W1
QSO_343.9955527928164+2.9011403085120064,56997.72207099999,18.102,0.16,W1
QSO_343.9955527928164+2.9011403085120064,56997.787734499965,18.052,0.168,W1
QSO_343.9955527928164+2.9011403085120064,56997.853398000014,17.834,0.164,W1
QSO_343.9955527928164+2.9011403085120064,56998.11616149999,17.976,0.13,W1
QSO_343.9955527928164+2.9011403085120064,56998.24748850001,17.776,0.105,W1
